"Study_site","file","Study_Name","Site_Name","Observational","Latitude__decimal_degrees","Longitude__Decimal_Degrees","Altitude__m","Country","Sample_StartDate_Month","Sample_StartDate_Year","Sample_EndDate_Month","Sample_EndDate_Year","ExtractionMethod","Sampled_Area","Sampled_Area_Unit","Sample_Effort","PH","PH_Collection_Method","Organic_Carbon__percent","Soil_Organic_Matter__percent","C.N_ratio","Sand__percent","Silt__percent","Clay__percent","Soil_Moisture_percent","Water_Holding_Capacity_percent__versus_dry_weight","SoilType","LandUse","HabitatCover","SpeciesRichness","SpeciesRichnessUnit","Habitat_as_described","Site_WetBiomass","Site_WetBiomassUnits","NumberofSpecies","Site_NumberofIndividuals"
"burtis_earthworms Adirondack_1","493_Burtis2014","burtis_earthworms","Adirondack_1","Observation",43.766144,-74.701133,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Number of species",NA,NA,NA,4,10
"burtis_earthworms Adirondack_2","493_Burtis2014","burtis_earthworms","Adirondack_2","Observation",43.766144,-74.701133,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Number of species",NA,NA,NA,3,15
"burtis_earthworms Adirondack_3","493_Burtis2014","burtis_earthworms","Adirondack_3","Observation",43.766144,-74.701133,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Number of species",NA,NA,NA,3,11
"burtis_earthworms Adirondack_4","493_Burtis2014","burtis_earthworms","Adirondack_4","Observation",43.766144,-74.701133,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Number of species",NA,NA,NA,2,15
"burtis_earthworms Adirondack_5","493_Burtis2014","burtis_earthworms","Adirondack_5","Observation",43.766144,-74.701133,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Number of species",NA,NA,NA,2,22
"burtis_earthworms Adirondack_6","493_Burtis2014","burtis_earthworms","Adirondack_6","Observation",43.766144,-74.701133,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Number of species",NA,NA,NA,3,17
"burtis_earthworms Adirondack_7","493_Burtis2014","burtis_earthworms","Adirondack_7","Observation",43.766144,-74.701133,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Number of species",NA,NA,NA,3,26
"burtis_earthworms Adirondack_8","493_Burtis2014","burtis_earthworms","Adirondack_8","Observation",43.766144,-74.701133,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Number of species",NA,NA,NA,1,10
"burtis_earthworms Arnot1_1","493_Burtis2014","burtis_earthworms","Arnot1_1","Observation",42.278814,-76.637039,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"Number of species",NA,NA,NA,4,17
"burtis_earthworms Arnot1_2","493_Burtis2014","burtis_earthworms","Arnot1_2","Observation",42.278814,-76.637039,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Number of species",NA,NA,NA,1,11
"burtis_earthworms Arnot1_3","493_Burtis2014","burtis_earthworms","Arnot1_3","Observation",42.278814,-76.637039,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Number of species",NA,NA,NA,3,14
"burtis_earthworms Arnot1_4","493_Burtis2014","burtis_earthworms","Arnot1_4","Observation",42.278814,-76.637039,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"Number of species",NA,NA,NA,4,25
"burtis_earthworms Arnot1_5","493_Burtis2014","burtis_earthworms","Arnot1_5","Observation",42.278814,-76.637039,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Number of species",NA,NA,NA,2,21
