"","Study_site","file","Study_Name","Site_Name","Observational","Latitude__decimal_degrees","Longitude__Decimal_Degrees","Altitude__m","Country","Sample_StartDate_Month","Sample_StartDate_Year","Sample_EndDate_Month","Sample_EndDate_Year","ExtractionMethod","Sampled_Area","Sampled_Area_Unit","Sample_Effort","PH","PH_Collection_Method","Organic_Carbon__percent","Soil_Organic_Matter__percent","C.N_ratio","Sand__percent","Silt__percent","Clay__percent","Soil_Moisture_percent","Water_Holding_Capacity_percent__versus_dry_weight","SoilType","LandUse","HabitatCover","SpeciesRichness","SpeciesRichnessUnit","Habitat_as_described","Site_WetBiomass","Site_WetBiomassUnits","NumberofSpecies","Site_NumberofIndividuals","ph_new"
"1","Verkhnyaya Balkariya Rap_Kabard_01","000_Rapaport2010","Verkhnyaya Balkariya","Rap_Kabard_01","Observation",43.12,43.45,1068,"Russia",3,2006,11,2007,"Hand sorting",0,"m2",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shallow rocky soil","Primary vegetation","Shrub",NA,NA,NA,NA,NA,2,139,NA
"2","Verkhnyaya Balkariya Rap_Kabard_02","000_Rapaport2010","Verkhnyaya Balkariya","Rap_Kabard_02","Observation",43.12,43.45,1160,"Russia",3,2006,11,2007,"Hand sorting",0,"m2",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shallow rocky soil","Primary vegetation","Sparse vegetation",NA,NA,"Corylus sp., Rhododendron sp.",NA,NA,2,47.7,NA
"3","Verkhnyaya Balkariya Rap_Kabard_03","000_Rapaport2010","Verkhnyaya Balkariya","Rap_Kabard_03","Observation",43.12,43.45,1320,"Russia",3,2006,11,2007,"Hand sorting",0,"m2",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shallow rocky soil","Primary vegetation","Broadleaf deciduous forest",NA,NA,"Alnus sp.",NA,NA,7,224.8,NA
"4","OrtizCeballos Continuous maize","566_Ortiz-Ceballos2004","OrtizCeballos","Continuous maize","Observation",18.13,-92.78,NA,"Mexico",8,2000,9,2000,"Hand sorting",100000,"cm3",18,7.9,"H20",NA,4.5,11.2,NA,NA,NA,45.4,NA,NA,"Production - Arable","Cropland",2,"Number of species","Fields (5 years old) where maize is grown continuously",NA,NA,2,64,7.9
"5","OrtizCeballos Mucuna-maize","566_Ortiz-Ceballos2004","OrtizCeballos","Mucuna-maize","Observation",18.13,-92.78,NA,"Mexico",8,2000,9,2000,"Hand sorting",100000,"cm3",18,7.7,"H20",NA,4.5,11.2,NA,NA,NA,47.8,NA,NA,"Production - Arable","Cropland",3,"Number of species","A 30-year-old Maize–M. pruriens field (MM). Winter–spring maize is grown during 4 months",NA,NA,3,222,7.7
"6","OrtizCeballos Pasture","566_Ortiz-Ceballos2004","OrtizCeballos","Pasture","Observation",18.13,-92.78,NA,"Mexico",8,2000,9,2000,"Hand sorting",100000,"cm3",18,7.8,"H20",NA,5,11.5,NA,NA,NA,44.7,NA,NA,"Pasture","Herbaceous",3,"Number of species","Pastures (30 years old) of Cynodon plectostachyus and Paspalum conjugatum (P). Pastures are grazed all year round by Indian cattle",NA,NA,3,246,7.8
"7","Raty BF_1","665_Raty2004","Raty","BF_1","Observation",63.21,25.73,NA,"Finland",5,1999,10,1999,"Other Multiple",625,"cm2",12,6.2,"H20",11,NA,NA,NA,NA,3.75,NA,NA,NA,"Secondary vegetation","Broadleaf deciduous forest",NA,NA,"birch stands planted 26–43 earlier on arable soil (originally cleared spruce forests) that had been under cultivation (leys and cereals) until reforestation",NA,NA,4,206.3,6.2
"8","Raty BF_2","665_Raty2004","Raty","BF_2","Observation",63.21,25.73,NA,"Finland",5,1999,10,1999,"Other Multiple",625,"cm2",12,5.4,"H20",15,NA,NA,NA,NA,10.24,NA,NA,NA,"Secondary vegetation","Broadleaf deciduous forest",NA,NA,"birch stands planted 26–43 earlier on arable soil (originally cleared spruce forests) that had been under cultivation (leys and cereals) until reforestation",NA,NA,4,155.6,5.4
"9","Raty BF_3","665_Raty2004","Raty","BF_3","Observation",63.21,25.73,NA,"Finland",5,1999,10,1999,"Other Multiple",625,"cm2",12,5.6,"H20",13,NA,NA,NA,NA,12.75,NA,NA,NA,"Secondary vegetation","Broadleaf deciduous forest",NA,NA,"birch stands planted 26–43 earlier on arable soil (originally cleared spruce forests) that had been under cultivation (leys and cereals) until reforestation",NA,NA,6,123.8,5.6
"10","Raty BS_1","665_Raty2004","Raty","BS_1","Observation",63.21,25.73,NA,"Finland",5,1999,10,1999,"Other Multiple",625,"cm2",12,5.1,"H20",16,NA,NA,NA,NA,1.98,NA,NA,NA,"Secondary vegetation","Broadleaf deciduous forest",NA,NA,"birch (B. pendula) stands planted 28–33 years prior to the study after clearcutting of mature spruce stands",NA,NA,5,140.9,5.1
