X.,Region,variable
c2ed860a993aca847d78c571cc28ac37,Netherlands,Bacteria
a61abb54db9cb13ae849742fe76325c2,Americas ,Bacteria
a61abb54db9cb13ae849742fe76325c2,Caribbean ,Bacteria
81d9e848bc22a687980ef8886fdc85db,Kenya,Bacteria
8e8de05ccd83aef0d074c26c61cb226a,Europe,Bacteria
ea2f5cad9ebe44e8da4ac5e290273877,"Cross River State, Nigeria",Bacteria
1006ac37848a663e0d9e7fe8dccf89d8,Svalbard,Bacteria
1006ac37848a663e0d9e7fe8dccf89d8,Czech Republic,Bacteria
1006ac37848a663e0d9e7fe8dccf89d8,Siberia,Bacteria
ad36c030644c273b571d7270728da7c1,France,Bacteria
3f08150917fe38316d529566b664cf07,"Cape Town, South Africa",Bacteria
d1fe4d5aaf39fe59a78625e5ae9d8e2e,Europe,Bacteria
14cf51570e98757043a38348ef8aad1e,UK,Bacteria
2b8784b100c26a03c5b7dda85743d1ce,UK,Bacteria
2b8784b100c26a03c5b7dda85743d1ce,Svalbard,Bacteria
2b8784b100c26a03c5b7dda85743d1ce,South Afrcia,Bacteria
1a8cf1ba3ac13639ee49daf3489d2f24,Amazon Rainforest,Bacteria
84be02c4d7a046b5744726d2c5fd953c,Georgia,Bacteria
d5a1abaf6e451fe27f24ada5183c2363,Texas,Bacteria
d5a1abaf6e451fe27f24ada5183c2363,Iowa,Bacteria
82805aeb847a2e86a971f64998c003c2,New York City,Bacteria
09221bac01983c58b495131e1446e7f2,Gelderland,Bacteria
a43df7c1df33074b66dd40c7c3518633,Miami-Dade County,Bacteria
9d24a6a7b85ea4cd4ee1df5588a776a7,"Tasmania, Austrslia",Bacteria
0a3693ba9ff028c051b4cdb3490c4f17,India,Bacteria
1b873b12ba50945684650a968864232b,SE Asia,Bacteria
1b873b12ba50945684650a968864232b,East Africa,Bacteria
d32d9f1498f0de114f6db70a7a1fa81f,"Uttar Pradesh,India",Bacteria
6add69f17cbad9c9e0092f9e4088fc08,Switzerland,Bacteria
2ac54087b7a0f6e445593cf557074c58,Switzerland,Bacteria
3a29ab8eabec6fd8cd3fc6d38ab9d9f2,Indonesia,Bacteria
3a29ab8eabec6fd8cd3fc6d38ab9d9f2,Japan,Bacteria
d631462afd91b26f9ec66e68c4edaa4a,UK,Bacteria
9a0559835205c7ea136f7c1d1b13e9a0,Northern Alaska,Bacteria
d149d82103f5e893542e2cb2cc566100,China,Bacteria
d94782d9e4fe8014fc7e2a807bb13115,UK,Bacteria
41855e9778751aee96176e221c94e9e1,Jersey Channel Islands,Bacteria
4a276158e3dd37f7b5eea3be8d919279,USA,Bacteria
48765e13203a91e03e6d7921c202d1f2,California,Bacteria
a8ce21c25bc7a9051aed0b67771b2c53,USA,Bacteria
d28925cad220e07d0dda3b4dba4a72ff,Eastern California-Great Basin,Bacteria
ca59392b464516a3f58c05d578d1a01c,"Andalucia, Spain",Bacteria
a1875de0cbf530c95e0fa44d3e02e07d,Spain,Bacteria
aec93274400f4e6e7d8197e9cd5e598b,"Malaysia, Indonesia",Bacteria
51f1aacd02d2b56873723146145bd6b7,High alpine Subarctic Sweden ,Bacteria
0cd7e00ad5a4cc82d3e477bd33ab79d8,USA,Bacteria
536d03ba60ba3ec50b5f677aff898d15,Puerto Rico,Bacteria
f37a2a25345b0048507e4c526c1976ff,UK,Bacteria
c2ed860a993aca847d78c571cc28ac37,Netherlands,Fungi
8e8de05ccd83aef0d074c26c61cb226a,Europe,Fungi
1006ac37848a663e0d9e7fe8dccf89d8,Svalbard,Fungi
1006ac37848a663e0d9e7fe8dccf89d8,Czech Republic,Fungi
1006ac37848a663e0d9e7fe8dccf89d8,Siberia,Fungi
4927da8c9d425709a91f81d8f8463ab8,South Africa,Fungi
ad36c030644c273b571d7270728da7c1,France,Fungi
7aa03d94e6f7ca580db6e8b364bc946c,New Zealand,Fungi
f83ae4d9be7a67306c68f2590297edcb,"Champagne, France",Fungi
3f08150917fe38316d529566b664cf07,"Cape Town, South Africa",Fungi
d1fe4d5aaf39fe59a78625e5ae9d8e2e,Europe,Fungi
14cf51570e98757043a38348ef8aad1e,UK,Fungi
1a8cf1ba3ac13639ee49daf3489d2f24,Amazon Rainforest,Fungi
3818440850a60d15cae3051f5b294ffd,Global,Fungi
6916ba6adf20a5e437b8ca96b8eb38ff,Global,Fungi
84be02c4d7a046b5744726d2c5fd953c,Georgia,Fungi
d5a1abaf6e451fe27f24ada5183c2363,Texas,Fungi
d5a1abaf6e451fe27f24ada5183c2363,Iowa,Fungi
ca98c19f62f76c03a421e3653c9e730a,"Michigan, USA",Fungi
4106f19ddaec78e25501046ce019039c,Switzerland,Fungi
82805aeb847a2e86a971f64998c003c2,New York City,Fungi
d2f8d2876e906428adeec140e5df40d9,Netherlands,Fungi
eac950eb85885925c9b03c497d03b32d,USA,Fungi
eac950eb85885925c9b03c497d03b32d,Costa Rica,Fungi
eac950eb85885925c9b03c497d03b32d,Mexico,Fungi
09221bac01983c58b495131e1446e7f2,Gelderland,Fungi
a43df7c1df33074b66dd40c7c3518633,Miami-Dade County,Fungi
3e7eebbb996aebb069263ee6c5a85523,Finland,Fungi
3e7eebbb996aebb069263ee6c5a85523,Russia,Fungi
8d9bc6929fdd38d0f946ca0102b2fcec,"Uttar Pradesh, India",Fungi
0a3693ba9ff028c051b4cdb3490c4f17,India,Fungi
1b873b12ba50945684650a968864232b,SE Asia,Fungi
1b873b12ba50945684650a968864232b,East Africa,Fungi
d32d9f1498f0de114f6db70a7a1fa81f,"Uttar Pradesh, India",Fungi
6add69f17cbad9c9e0092f9e4088fc08,Switzerland,Fungi
aae4627db1c98954c73b3a0c7b3e2e09,Scotland,Fungi
00c44f68fa86be89102f02184b464fda,Wales,Fungi
2ac54087b7a0f6e445593cf557074c58,Switzerland,Fungi
9a5ac10d2393eb12d52f4922c164e4ec,"Paris, France",Fungi
3a29ab8eabec6fd8cd3fc6d38ab9d9f2,Indonesia,Fungi
3a29ab8eabec6fd8cd3fc6d38ab9d9f2,Japan ,Fungi
